,val,source
2020-09-01 00:00:00.135012414,2070.0,Wakanda
2020-09-01 00:00:01.491934077,2400.0,Buranda
2020-09-01 00:05:00.733157824,2430.0,Buranda
2020-09-01 00:05:01.871980801,1950.0,Wakanda
2020-09-01 00:10:00.937959087,2893.6417813880516,Buranda
2020-09-01 00:10:01.117040787,2452.294186837136,Wakanda
2020-09-01 00:15:00.924775968,4599.562373144507,Wakanda
2020-09-01 00:15:01.330237820,3227.4093971785246,Buranda
2020-09-01 00:20:00.352663696,1793.946032323047,Buranda
2020-09-01 00:20:00.848571954,6486.849216909896,Wakanda
2020-09-01 00:25:00.115826896,3013.5752823188786,Buranda
2020-09-01 00:25:01.376313823,7356.017129588283,Wakanda
2020-09-01 00:30:00.541405227,2934.1274219632583,Buranda
2020-09-01 00:30:01.974883029,7203.948437124192,Wakanda
2020-09-01 00:35:00.567836128,3556.224654153838,Buranda
2020-09-01 00:35:01.608980909,5683.779520860353,Wakanda
2020-09-01 00:40:00.904050895,3520.7017630131368,Buranda
2020-09-01 00:40:01.662462771,3952.2370535134096,Wakanda
2020-09-01 00:45:01.732252838,3624.9933997770095,Buranda
2020-09-01 00:45:01.906492180,2285.643966675392,Wakanda
2020-09-01 00:50:00.851179615,2694.6055677554873,Wakanda
2020-09-01 00:50:01.116993250,3595.001980775235,Buranda
2020-09-01 00:55:00.257005160,4635.765840719998,Buranda
2020-09-01 00:55:01.192911701,3937.56576660312,Wakanda
2020-09-01 01:00:00.495490090,3017.791409508617,Buranda
2020-09-01 01:00:00.704594411,6359.567434369055,Wakanda
2020-09-01 01:05:01.713319698,6597.943899118787,Wakanda
2020-09-01 01:05:01.858520424,4423.976049760376,Buranda
2020-09-01 01:10:01.510607141,2090.4439976652457,Buranda
2020-09-01 01:10:01.631274736,5837.338239864094,Wakanda
2020-09-01 01:15:00.012979618,5147.866038903681,Wakanda
2020-09-01 01:15:00.400242120,4693.8586482356095,Buranda
2020-09-01 01:20:01.506466313,4747.20880746333,Wakanda
2020-09-01 01:20:01.743934770,1445.0826522046546,Buranda
2020-09-01 01:25:00.023509867,4298.090319081817,Wakanda
2020-09-01 01:25:01.639179034,3723.7925860698733,Buranda
2020-09-01 01:30:00.546306407,2385.801547439732,Buranda
2020-09-01 01:30:00.817697332,4127.103156065512,Wakanda
2020-09-01 01:35:00.227009937,4045.67677030552,Wakanda
2020-09-01 01:35:00.727245767,4291.18099303635,Buranda
2020-09-01 01:40:01.483084743,2156.9023913743654,Buranda
2020-09-01 01:40:01.842145041,4361.803621945459,Wakanda
2020-09-01 01:45:00.101765309,4689.449191580244,Buranda
2020-09-01 01:45:00.501020851,,Wakanda
2020-09-01 01:50:00.691844794,5534.553716345154,Wakanda
2020-09-01 01:50:00.877869013,2505.3585826869457,Buranda
2020-09-01 01:55:01.184823214,5679.719373189439,Wakanda
2020-09-01 01:55:01.646095248,4110.448021729975,Buranda
2020-09-01 02:00:01.424827677,,Buranda
2020-09-01 02:00:01.780947507,5652.918806613659,Wakanda
2020-09-01 02:05:00.421642260,3333.1589113853775,Buranda
2020-09-01 02:05:01.894492602,5117.094799317023,Wakanda
2020-09-01 02:10:00.427614352,3911.0232593709543,Wakanda
2020-09-01 02:10:00.695092742,2863.9545810999934,Buranda
2020-09-01 02:15:00.075237489,3486.1764813453055,Buranda
2020-09-01 02:15:01.081263777,3089.0358461049136,Wakanda
2020-09-01 02:20:00.875871059,3058.3222250141944,Buranda
2020-09-01 02:20:01.111860646,2893.3464085544947,Wakanda
2020-09-01 02:25:00.435729606,4252.917279604233,Buranda
2020-09-01 02:25:01.904493483,3268.0686997031685,Wakanda
2020-09-01 02:30:00.961587425,3525.4288951667595,Buranda
2020-09-01 02:30:01.443725465,4638.0661055098335,Wakanda
2020-09-01 02:35:00.334351972,5910.754826610798,Wakanda
2020-09-01 02:35:01.189094167,3840.439461062164,Buranda
2020-09-01 02:40:00.195486176,3105.588692573327,Buranda
2020-09-01 02:40:01.584156925,6453.676366179486,Wakanda
2020-09-01 02:45:00.582637944,4150.439634686663,Buranda
2020-09-01 02:45:01.847456955,6073.496317182856,Wakanda
2020-09-01 02:50:00.892628003,3049.365388143432,Buranda
2020-09-01 02:50:01.641996550,5162.73455003223,Wakanda
2020-09-01 02:55:00.153342805,4233.830290374146,Buranda
2020-09-01 02:55:01.722899992,4206.183454433988,Wakanda
2020-09-01 03:00:00.443599719,2864.829896665648,Buranda
2020-09-01 03:00:01.558378725,4399.939480878344,Wakanda
2020-09-01 03:05:01.476010876,4819.411297993282,Wakanda
2020-09-01 03:05:01.974127695,3440.399384599641,Buranda
2020-09-01 03:10:00.731423786,5747.957772288664,Wakanda
2020-09-01 03:10:01.140775972,3056.7181509872034,Buranda
2020-09-01 03:15:00.408996960,,Wakanda
2020-09-01 03:15:00.481783757,3051.526648879012,Buranda
2020-09-01 03:20:00.886042953,3513.523232251841,Buranda
2020-09-01 03:20:01.645872501,5569.9348218417545,Wakanda
2020-09-01 03:25:00.627392807,4920.654287434856,Wakanda
2020-09-01 03:25:01.245382310,2600.289426053352,Buranda
2020-09-01 03:30:00.647736539,3963.0872764628475,Buranda
2020-09-01 03:30:01.398241633,4446.676441200352,Wakanda
2020-09-01 03:35:01.584554011,4549.912468638776,Wakanda
2020-09-01 03:35:01.897506573,3420.235744204223,Buranda
2020-09-01 03:40:00.275429084,4300.653836807389,Wakanda
2020-09-01 03:40:01.014884587,3361.6089708830928,Buranda
2020-09-01 03:45:00.659961970,4074.496209674495,Wakanda
2020-09-01 03:45:00.733217854,3819.41210121265,Buranda
2020-09-01 03:50:00.668827158,3013.1948033247563,Buranda
2020-09-01 03:50:01.644151840,3619.781316748561,Wakanda
2020-09-01 03:55:00.919281342,3660.274483084224,Wakanda
2020-09-01 03:55:01.532734179,3735.512541056941,Buranda
